2026-04-14 14:07:44.549,59,11,20,15,39,-4
2026-04-14 14:07:57.679,56,107,64,120,-8,-13
2026-04-14 14:08:09.486,97,23,64,10,33,13
2026-04-14 14:08:19.270,16,8,10,10,6,-2
2026-04-14 14:08:30.073,77,44,64,20,13,24
2026-04-14 14:08:44.924,48,108,64,110,-16,-2
2026-04-14 14:08:54.019,31,61,32,16,-1,45
2026-04-14 14:09:04.097,83,102,64,110,19,-8
2026-04-14 14:09:13.240,61,52,64,32,-3,20
2026-04-14 14:09:28.475,66,11,64,8,2,3
2026-04-14 14:09:40.261,6,104,10,115,-4,-11
2026-04-14 14:09:46.145,55,82,64,64,-9,18
2026-04-14 14:09:54.004,62,120,64,112,-2,8
2026-04-14 14:10:01.408,10,115,20,105,-10,10
2026-04-14 14:10:11.308,8,9,64,64,-56,-55
